Year,Tm,Player,Age,Rounded Position,WS
1993,SEA,Rich King,23,5,0
1994,DET,Charles Jones,36,4,1.5
1995,PHI,Jaren Jackson,27,2,0
1996,SAS,Cory Alexander,22,1,0.2
1996,CHI,John Salley,31,4,0.2
1996,SAS,Monty Williams,24,3,0
1996,GSW,David Wood,31,3,0.2
1996,TOR,Herb Williams,37,5,0
1997,IND,Jerome Allen,24,1,0.5
1997,NJN,Joe Kleine,35,5,0.4
1997,CLE,Reggie Geary,23,1,0.3
1997,NJN,Robert Werdann,26,5,0
1998,GSW,Brian Shaw,31,2,-0.3
1998,DEN,Kiwane Garris,23,1,-0.1
1998,UTA,William Cunningham,23,5,0.1
1999,MIL,Michael Curry,30,2,1.7
1999,ATL,Jeffrey Sheppard,24,1,0.3
2000,CLE,Lari Ketner,22,5,0
2001,ORL,John Amaechi,30,4,0
2001,LAL,Tyronn Lue,23,1,0.4
2001,CLE,Chucky Brown,32,3,0.2
2001,TOR,Michael Stewart,25,4,0.1
2002,IND,Bruno Sundov,21,5,0
2004,WAS,Jared Jeffries,22,4,0.6
2004,UTA,Sasha Pavlovic,20,3,0.9
2004,HOU,Eric Piatkowski,33,3,0.9
2004,SAS,Charlie Ward,33,1,0.6
2005,SAC,Kevin Martin,21,2,0.1
2005,PHO,Jake Voskuhl,27,5,0.6
2005,HOU,Charlie Ward,34,1,0.5
2005,SAS,Sean Marks,29,4,0.2
2006,UTA,Gordan Giricek,28,2,-0.2
2006,MIA,Derek Anderson,31,2,0.6
2006,GSW,Will Bynum,23,1,-0.1
2007,POR,Raef LaFrentz,30,5,0.2
2008,NJN,Darrell Armstrong,39,1,0.3
2008,MIL,Jake Voskuhl,30,5,0.2
2008,BOS,Scot Pollard,32,5,0.6
2009,MIA,Mark Blount,33,5,-0.1
2009,MIA,Marcus Banks,27,1,0.1
2010,NOH,James Posey,33,3,2.4
2010,NJN,Rafer Alston,33,1,-0.8
2010,BOS,Lester Hudson,25,1,0
2011,BOS,Luke Harangody,23,4,0.4
2012,OKC,Kendrick Perkins,27,5,2
2012,ORL,Quentin Richardson,31,3,1.3
2012,TOR,Alan Anderson,29,2,0.3
2012,TOR,Anthony Carter,36,1,0
2012,WAS,Morris Almond,26,3,0
2013,CHA,Brendan Haywood,33,5,0.1
2013,DAL,Derek Fisher,38,1,0.1
2014,MIA,Shane Battier,35,3,2.4
2014,PHI,Elliot Williams,24,2,0.3
2014,BRK,Jorge Gutierrez,25,1,0.2
2014,PHI,Dewayne Dedmon,24,5,0.1
2015,PHI,Jerami Grant,20,3,0.5
2015,POR,Allen Crabbe,22,2,1.3
2015,CHI,Nazr Mohammed,37,4,0.1
2015,BOS,Jameer Nelson,32,1,0
2016,CHI,E'Twaun Moore,26,2,0.2
1978,BUF,Eddie Owens,24,3,0
1979,NYK,Tom Barker,23,4,0.2
1981,BOS,Chris Ford,32,2,3.7
1981,HOU,Calvin Garrett,24,2,1.4
1981,ATL,Craig Shelton,23,3,0
1981,SDC,Jerome Whitehead,24,4,0.3
1981,NYK,Reggie Carter,23,1,0.1
1981,WSB,Andre McCarter,27,1,0.3
1983,SDC,Lowes Moore,25,1,0.2
1983,LAL,Dwight Jones,30,4,0.5
1983,PHO,Joel Kramer,27,3,0.8
1983,ATL,Scott Hastings,22,4,0
1985,IND,Devin Durrant,24,2,-0.1
1985,CLE,Jeff Cook,28,4,0.5
1986,DET,Rick Mahorn,27,4,1.3
1986,PHO,Sedric Toney,23,1,0.1
1987,SAC,Mark Olberding,30,3,1.5
1987,POR,Kevin Duckworth,22,5,0.7
1988,MIL,Paul Mokeski,31,5,1.3
1988,UTA,Eddie Hughes,27,1,0
1989,DAL,Bill Wennington,25,5,1.3
1989,SAC,Joe Kleine,27,5,0.1
1989,CLE,Tree Rollins,33,5,1
1989,POR,Jerry Sichting,32,1,0.2
1989,MIA,Todd Mitchell,22,3,0.1
1990,MIA,Rory Sparrow,31,1,0.7
1990,HOU,Mike Woodson,31,2,0.7
1990,HOU,Anthony Bowie,26,2,0.7
1990,CLE,Tree Rollins,34,5,0.7
1991,HOU,Kennard Winchester,24,2,0.5
1991,BOS,Stojko Vrankovic,27,5,-0.1
1992,ATL,Rodney Monroe,23,1,-0.2
1993,DEN,Mark Macon,23,1,0.5
1994,HOU,Matt Bullard,26,3,1
1994,DAL,Darren Morningstar,24,4,0.3
1995,DAL,Tony Dumas,22,2,0
1996,MIA,Kevin Gamble,30,2,1.7
1996,DET,Eric Leckner,29,5,0.2
1996,POR,Reggie Slater,25,3,0
1997,WSB,Harvey Grant,31,3,2.7
1997,PHO,Wayman Tisdale,32,4,-0.6
1997,BOS,Brett Szabo,28,5,0.4
1997,PHI,Adrian Caldwell,30,4,0.3
1997,DET,Rick Mahorn,38,4,0.3
1997,WSB,Ashraf Amaya,25,4,0.1
1999,WAS,Calbert Cheaney,27,3,0.4
1999,TOR,Michael Stewart,23,4,0.7
1999,CLE,Antonio Lang,26,4,0.1
1999,CHH,Travis Williams,29,3,0
2000,PHO,Luc Longley,31,5,1.3
2000,VAN,Milt Palacio,21,1,-0.3
2000,SAS,Sean Elliott,31,3,0.5
2000,DEN,Cory Alexander,26,1,-0.1
2000,ATL,Drew Barry,26,1,0
2000,CHH,Michael Hawkins,27,1,0
2001,CHI,Corey Benjamin,22,2,-0.5
2001,TOR,Chris Childs,33,1,0.2
2001,LAC,Derek Strong,32,3,0.3
2002,BOS,Eric Williams,29,3,2.2
2002,TOR,Chris Childs,34,1,1.1
2002,MEM,Will Solomon,23,1,-0.5
2002,PHI,Derrick McKey,35,3,1.6
2002,CLE,Michael Doleac,24,5,0.3
2002,CLE,Bimbo Coles,33,1,0.4
2002,SAC,Mateen Cleaves,24,1,-0.3
2003,BOS,Kedrick Brown,21,3,0.5
2003,DET,Hubert Davis,32,2,0.5
2003,BOS,Bimbo Coles,34,1,0.1
2004,ATL,Boris Diaw,21,3,0.8
2004,UTA,Keon Clark,28,4,0
2004,NJN,Doug Overton,34,1,0
2005,CHA,Cory Alexander,31,1,0
2005,GSW,Luis Flores,23,1,-0.1
2008,MIL,Royal Ivey,26,1,0.5
2008,NOH,Rasual Butler,28,3,1.2
2008,MIA,Joel Anthony,25,4,0.6
2008,DET,Lindsey Hunter,37,1,0.2
2008,DEN,Taurean Green,21,1,0
2009,NOH,Sean Marks,33,5,1.2
2009,NJN,Sean Williams,22,4,0.3
2009,GSW,Al Harrington,28,3,-0.1
2009,SAC,Kenny Thomas,31,4,0.1
2010,MIA,James Jones,29,3,1
2011,NJN,Travis Outlaw,26,3,0.8
2011,HOU,Ish Smith,22,1,0
2011,CHI,James Johnson,23,4,0
2012,LAL,Derek Fisher,37,1,1.1
2012,GSW,Andris Biedrins,25,5,1.3
2012,SAS,James Anderson,22,2,0.5
2012,BOS,E'Twaun Moore,22,1,0.2
2012,HOU,Jonny Flynn,22,1,0
2013,BOS,Avery Bradley,22,1,0.4
2013,WAS,Garrett Temple,26,2,1.2
2013,PHI,Kwame Brown,30,5,0.4
2013,HOU,Daequan Cook,25,2,0.1
2013,SAS,Aron Baynes,26,5,0.1
2013,IND,Miles Plumlee,24,5,0
2013,GSW,Malcolm Thomas,24,4,0
2014,MIA,Norris Cole,25,1,1.2
2014,BOS,Phil Pressey,22,1,0.1
2014,WAS,Chris Singleton,24,4,0.2
2014,POR,Victor Claver,25,4,0.2
2015,CHO,Lance Stephenson,24,2,-0.9
2015,LAC,Reggie Bullock,23,3,0.4
2016,MIA,Justise Winslow,19,3,0.3
2016,DAL,Raymond Felton,31,1,0.1
2016,TOR,Patrick Patterson,26,3,0.2
1980,SAS,Wiley Peck,22,3,0.3
1980,IND,Phil Chenier,29,1,0
1980,PHI,Bernard Toone,23,3,-0.1
1981,CHI,Sam Worthen,23,2,0.7
1982,BOS,Charles Bradley,22,2,0.2
1983,NYK,Ernie Grunfeld,27,2,2.2
1983,SAS,Paul Griffin,29,3,1.4
1983,DEN,Mike Evans,27,1,-0.2
1984,MIL,Paul Mokeski,27,5,1.6
1984,SEA,Steve Hayes,28,4,0.3
1984,GSW,Lorenzo Romar,25,1,0
1985,PHO,Mike Holton,23,1,0.8
1985,BOS,Carlos Clark,24,2,0.5
1985,MIL,Kenny Fields,22,2,0.7
1986,NYK,Bill Cartwright,28,5,0
1988,CHI,Rory Sparrow,29,1,0.7
1992,PHI,Mitchell Wiggins,32,2,-0.1
1993,PHO,Negele Knight,25,1,0.1
1993,CHI,Darrell Walker,31,1,0.6
1993,SAC,Vincent Askew,26,2,0
1994,MIN,Tellis Frank,28,4,1.1
1994,ORL,Larry Krystkowiak,29,3,1
1994,PHO,Jerrod Mustaf,24,4,0
1995,DET,Negele Knight,27,1,-0.3
1995,HOU,Tim Breaux,24,3,0
1996,MIA,Pete Myers,32,2,0.5
1997,SAC,Duane Causwell,28,5,0.7
1997,TOR,John Long,40,2,0.1
1997,BOS,Steve Hamer,23,5,0.2
1997,DEN,Jerome Allen,24,1,-0.1
1997,TOR,Benoit Benjamin,32,5,0
1998,UTA,Greg Foster,29,4,1.3
1998,CHH,Donald Royal,31,3,0.5
1999,CHI,Rusty LaRue,25,1,0.3
1999,BOS,Walter McCarty,24,4,0.5
1999,HOU,Antoine Carr,37,4,0
2000,CLE,Mark Bryant,34,4,2.4
2000,DEN,Chris Herren,24,1,0.5
2000,CHH,Chucky Brown,31,3,0.4
2000,ORL,Anthony Johnson,25,1,0.2
2001,NJN,Doug Overton,31,1,0
2001,SAS,Ira Newble,26,3,0.2
2001,NJN,Eddie Gill,22,1,0
2002,MIA,Anthony Carter,26,1,0.2
2003,NYK,Michael Doleac,25,5,0.3
2003,NJN,Brian Scalabrine,24,4,1
2004,HOU,Mark Jackson,38,1,0.4
2004,TOR,Lamond Murray,30,3,-0.3
2005,LAC,Quinton Ross,23,2,1.7
2005,NJN,Jacque Vaughn,29,1,1.8
2005,ATL,Royal Ivey,23,1,0.2
2005,LAL,Sasha Vujacic,20,2,0.2
2005,NJN,Aaron Williams,33,4,0.2
2006,NYK,Antonio Davis,37,4,0.4
2006,WAS,Calvin Booth,29,4,0.4
2006,MIN,Richie Frahm,28,2,0.3
2006,ORL,Mario Kasun,25,5,0.3
2007,MIL,Brian Skinner,30,4,1.1
2007,HOU,Bonzi Wells,30,3,-0.1
2007,MEM,Junior Harrington,26,1,-0.2
2008,MIA,Alexander Johnson,24,4,0.2
2008,SAC,Anthony Johnson,33,1,0.2
2008,DEN,Chucky Atkins,33,1,0.3
2009,TOR,Jason Kapono,27,3,0.8
2009,DET,Arron Afflalo,23,2,1.8
2009,DAL,DeSagana Diop,27,5,0.7
2009,DEN,Chucky Atkins,34,1,0
2010,CHI,Jannero Pargo,30,1,-0.3
2011,LAL,Derek Fisher,36,1,3.7
2011,UTA,Francisco Elson,34,4,0.6
2011,NOH,David Andersen,30,5,0.1
2012,SAC,Chuck Hayes,28,3,0.6
2012,MIL,Stephen Jackson,33,3,-0.3
2012,CLE,Donald Sloan,24,1,-0.3
2012,NOH,Carldell Johnson,29,1,0
2012,ORL,DeAndre Liggins,23,2,0
2012,LAL,Luke Walton,31,3,0.1
2014,LAC,Jared Dudley,28,3,2.4
2014,SAS,Othyus Jeffers,28,2,0.1
2015,NOP,Dante Cunningham,27,3,1.6
2015,DEN,Erick Green,23,1,0
2016,DAL,Charlie Villanueva,31,4,0
1978,HOU,Alonzo Bradley,24,2,-0.1
1978,WSB,Phil Walker,21,1,-0.4
1979,NYK,Butch Beard,31,1,0
1980,ATL,Jim McElroy,26,1,0.2
1981,UTA,Ron Boone,34,1,-0.6
1983,DAL,Elston Turner,23,2,0.1
1983,PHO,Jeff Cook,26,4,0.6
1984,ATL,Rickey Brown,25,4,0.9
1984,DET,Walker Russell,23,2,0.1
1984,NYK,Rudy Macklin,25,3,0.1
1985,CLE,Lonnie Shelton,29,4,0.9
1985,ATL,Walker Russell,24,2,0.2
1987,LAC,Geoff Huston,29,1,-0.4
1988,GSW,Ben McDonald,25,3,1.3
1988,DET,William Bedford,24,5,0.2
1988,NYK,Rick Carlisle,28,2,0.2
1988,SAS,Johnny Moore,29,1,0
1989,IND,Randy Wittman,29,2,0.6
1989,SAS,Mike Smrek,26,5,0.4
1990,MIA,Terry Davis,22,4,0.5
1990,GSW,Jim Petersen,27,4,0.4
1991,NYK,Brian Quinnett,24,3,0.8
1992,CHH,Elliot Perry,22,1,-0.3
1992,SAS,Sean Higgins,23,3,0
1993,DAL,Walter Bond,23,2,-0.8
1993,NJN,Dave Hoppen,28,5,0
1994,DET,Allan Houston,22,2,-1.2
1994,MIL,Joe Courtney,24,3,-0.1
1995,DET,Bill Curley,22,4,0.5
1996,ORL,Joe Wolf,31,4,1.5
1996,UTA,Greg Foster,27,5,0.6
1996,BOS,Junior Burrough,23,4,-0.2
1996,PHI,Jeff Malone,34,2,-0.3
1996,DET,Lou Roe,23,3,0.4
1996,PHI,Scott Skiles,31,1,0.1
1997,POR,Mitchell Butler,26,2,0.6
1998,DAL,Robert Pack,28,1,-0.6
1998,GSW,Dickey Simpkins,25,4,-0.1
1999,LAL,J.R. Reid,30,4,0.6
1999,VAN,J.R. Henderson,22,3,-0.2
1999,SEA,Drew Barry,25,1,0.2
2000,MIN,Dean Garrett,33,4,1
2000,MIL,J.R. Reid,31,4,0.7
2000,PHO,Corie Blount,31,4,0.8
2000,BOS,Pervis Ellison,32,4,0.5
2001,DET,Mateen Cleaves,23,1,-0.1
2001,WAS,Tyrone Nesby,25,3,0.2
2001,MIN,William Avery,21,1,0
2001,NJN,Soumaila Samake,22,5,0.1
2001,ORL,Dee Brown,32,1,0.2
2002,CHH,George Lynch,31,3,0.7
2004,NYK,Othella Harrington,30,4,0.8
2004,DET,Lindsey Hunter,33,1,0.9
2004,ORL,Sean Rooks,34,4,0.2
2005,CLE,Eric Snow,31,1,1.9
2005,CLE,Lucious Harris,34,2,1.3
2005,NYK,Anfernee Hardaway,33,2,0.2
2005,CLE,Sasha Pavlovic,21,3,0.8
2005,SAC,Matt Barnes,24,3,0.4
2005,NJN,Clifford Robinson,38,4,0.7
2005,BOS,Walter McCarty,30,4,0.8
2005,HOU,Clarence Weatherspoon,34,3,1.1
2005,POR,Viktor Khryapa,22,3,0.3
2006,MIA,Jason Kapono,24,3,1.2
2006,PHI,Louis Williams,19,1,-0.1
2007,MIA,Gary Payton,38,1,1.3
2007,MIL,David Noel,22,3,0.4
2007,SAC,Quincy Douby,22,1,0
2008,POR,Sergio Rodriguez,21,1,-0.2
2008,NOH,Melvin Ely,29,5,0.3
2008,MIA,Anfernee Hardaway,36,2,0.2
2008,MIA,Kasib Powell,26,3,0
2008,LAC,Paul Davis,23,5,0
2008,MIA,Blake Ahearn,23,1,0
2008,DAL,Antoine Wright,23,3,0.2
2008,SAS,Darius Washington,22,1,0
2009,IND,Brandon Rush,23,3,0.9
2009,DEN,Dahntay Jones,28,2,2
2009,OKC,Malik Rose,34,3,0.2
2010,SAC,Kenny Thomas,32,4,0.4
2010,NOH,Sean Marks,34,5,0.2
2011,LAC,Ryan Gomes,28,3,2.5
2011,CHI,Keith Bogans,30,2,3.6
2011,CLE,Christian Eyenga,21,2,-0.3
2011,MIA,Mike Bibby,32,1,1
2012,SAC,John Salmons,32,2,0.4
2012,CHA,Tyrus Thomas,25,4,-0.6
2012,LAL,Troy Murphy,31,4,1.7
2012,MIN,Darko Milicic,26,5,0
2012,WAS,Maurice Evans,33,2,0.3
2012,DEN,Wilson Chandler,24,3,-0.1
2012,NOH,DaJuan Summers,24,3,0.2
2013,TOR,Aaron Gray,28,5,0.5
2013,PHO,Diante Garrett,24,1,-0.2
2014,NOP,Darius Miller,23,3,0.8
2014,POR,C.J. McCollum,22,2,0.2
2014,BRK,Reggie Evans,33,5,0.4
2014,OKC,Andre Roberson,22,3,0.8
2014,CHI,Tornike Shengelia,22,3,0
2015,CHO,P.J. Hairston,22,3,0.3
2015,OKC,Ish Smith,26,1,0
2016,IND,Monta Ellis,30,1,-0.1
2016,MEM,Matt Barnes,35,3,0
2016,NOP,Dante Cunningham,28,3,0.1
2016,WAS,Gary Neal,31,2,0
1978,GSW,E.C. Coleman,27,3,2.7
1978,DEN,Bo Ellis,23,3,1.1
1979,ATL,Charlie Criss,30,1,0.1
1980,POR,Jim Paxson,22,2,0.3
1980,DET,Roy Hamilton,22,1,-0.4
1980,LAL,Ollie Mack,22,1,0.1
1982,ATL,Al Wood,23,2,0
1982,NJN,Ray Tolbert,23,4,0
1983,SAS,Bill Willoughby,25,3,1.2
1983,GSW,Rickey Brown,24,4,0.2
1983,UTA,Kenny Natt,24,1,0.1
1983,NJN,Phil Ford,26,1,0.2
1984,PHI,Clemon Johnson,27,4,2.2
1985,PHI,Clint Richardson,28,1,1.8
1985,GSW,Chuck Aleksinas,25,5,0.4
1985,PHO,Charles Pittman,26,3,0.9
1985,CLE,Mark West,24,4,1.1
1985,PHI,Leon Wood,22,1,-0.2
1985,DET,Lorenzo Romar,26,1,0
1985,CHI,Chris Engler,25,5,0
1986,CLE,Ron Brewer,30,1,0.2
1986,UTA,Fred Roberts,25,4,0.2
1987,NJN,Jeff Turner,24,4,0.6
1987,PHO,Nick Vanos,23,5,0.3
1987,MIL,Don Collins,28,3,0
1988,SAS,Ricky Wilson,23,1,0.1
1988,CLE,Kevin Henderson,23,2,0
1989,POR,Mark Bryant,23,4,1.1
1989,IND,Stuart Gray,25,5,0.9
1989,NJN,Corey Gaines,23,1,0.2
1990,IND,Mike Sanders,29,3,1
1990,GSW,Winston Garland,25,1,-0.7
1990,CHI,Will Perdue,24,5,0.5
1990,POR,Mark Bryant,24,4,1
1990,LAC,Torgeir Bryn,25,4,0
1991,SAS,Sean Higgins,22,3,0
1992,UTA,Mark Eaton,35,5,3.8
1992,LAC,Bo Kimble,25,2,0.1
1994,HOU,Carl Herrera,27,4,2
1994,UTA,Walter Bond,24,2,1
1994,LAL,James Edwards,38,4,0.3
1995,CHI,Pete Myers,31,2,1.3
1995,DEN,Greg Grant,28,1,0
1996,NYK,Charles Smith,30,4,0.2
1996,WSB,Bob McCann,31,3,0.6
1996,PHI,Tim Perry,30,3,0
1996,ORL,Geert Hammink,26,5,0
1997,MIA,Keith Askins,29,3,4.3
1997,GSW,Felton Spencer,29,5,1.2
1997,POR,Aaron McKie,24,2,1.1
1997,CLE,Donny Marshall,24,3,0.6
1997,MIA,Gary Grant,31,1,0.4
1998,MIL,Michael Curry,29,2,2.9
1999,DET,Eric Montross,27,5,1.3
1999,UTA,Todd Fuller,24,5,0.6
1999,WAS,Tim Legler,32,2,0.3
1999,LAL,Sean Rooks,29,4,0.3
2000,ATL,Roshown McLeod,24,3,-0.4
2001,NYK,Chris Childs,33,1,2
2001,DAL,Hubert Davis,30,2,1.5
2001,CLE,Anthony Johnson,26,1,-0.1
2002,MIA,LaPhonso Ellis,31,4,2.2
2002,MIN,Robert Pack,32,1,0.1
2003,SAS,Bruce Bowen,31,2,5.1
2003,WAS,Bryon Russell,32,3,1.5
2003,MIN,Mike Wilks,23,1,0.4
2004,DEN,Michael Doleac,26,5,0.5
2005,ORL,Pat Garrity,28,4,1.1
2005,TOR,Eric Williams,32,3,0.4
2005,MIN,John Thomas,29,4,0.9
2005,SEA,Mateen Cleaves,27,1,0
2006,SAS,Bruce Bowen,34,2,6.2
2006,ORL,Pat Garrity,29,3,1.2
2006,NOK,Brandon Bass,20,4,0.1
2006,SEA,Mateen Cleaves,28,1,0
2008,DAL,Malik Allen,29,4,0.7
2008,MIA,Luke Jackson,26,3,0
2008,HOU,Steve Francis,30,1,0.2
2009,LAC,Tim Thomas,31,4,-0.2
2010,DAL,Eduardo Najera,33,4,0.9
2011,OKC,Kendrick Perkins,26,5,0.4
2011,NJN,Dan Gadzuric,32,5,0.1
2011,NJN,Mario West,26,2,0.2
2012,OKC,Eric Maynor,24,1,0.1
2013,MIL,Luc Mbah a Moute,26,3,0.5
2013,POR,Will Barton,22,2,-0.5
2013,NYK,James White,30,2,0.5
2013,DAL,Troy Murphy,32,4,0.3
2013,NOH,Dominic McGuire,27,4,0.1
2013,OKC,Ronnie Brewer,27,3,0.2
2014,MIL,Luke Ridnour,32,1,-0.1
2015,OKC,Andre Roberson,23,3,2.1
2015,BRK,Markel Brown,23,2,0.5
2015,CLE,Brendan Haywood,35,5,0
2015,PHO,Zoran Dragic,25,2,0
2016,TOR,DeMarre Carroll,29,3,0.2
2016,BOS,Evan Turner,27,3,0
2016,DAL,Jeremy Evans,28,3,0.2
1978,LAL,Kenny Carr,22,3,0
1978,DEN,Jacky Dorsey,23,5,0
1979,DET,Jim Brewer,27,4,0.3
1979,NYK,Greg Bunch,22,2,0.1
1980,ATL,Armond Hill,26,1,2.5
1980,NYK,Marvin Webster,27,5,0.2
1981,UTA,Jeff Wilkins,25,5,0.5
1982,SDC,Jim Smith,23,4,0.6
1983,CLE,Bob Wilkerson,28,2,-0.3
1984,KCK,Ed Nealy,23,3,2
1984,CHI,Sidney Green,23,4,0.3
1984,MIL,Randy Breuer,23,5,0.3
1984,POR,Tom Piotrowski,23,5,0.1
1986,SEA,David Pope,23,3,0.1
1987,CLE,Tyrone Corbin,24,3,0.6
1988,LAC,Earl Cureton,30,3,0.7
1988,SAS,Ed Nealy,27,4,1.2
1988,NJN,Kevin McKenna,29,2,0.5
1988,DEN,Maurice Martin,23,2,0
1988,LAL,Jeff Lamp,28,2,0
1990,WSB,Charles Jones,32,4,3.8
1991,ORL,Mark Acres,28,4,2.5
1991,DEN,Greg Anderson,26,5,-0.3
1991,CLE,Winston Bennett,25,3,0.2
1991,NYK,Greg Grant,24,1,0
1993,ATL,Jon Koncak,29,5,3.1
1993,GSW,Sean Higgins,24,3,-0.1
1993,MIL,Anthony Pullard,26,4,-0.1
1994,BOS,Acie Earl,23,4,0.2
1994,MIN,Brian Davis,23,3,0
1994,NJN,Rick Mahorn,35,4,0.5
1994,BOS,Alaa Abdelnaby,25,5,-0.1
1995,WSB,Anthony Tucker,25,3,0.6
1995,CHH,Kenny Gattison,30,3,0.5
1996,NJN,Ed O'Bannon,23,3,0.7
1996,NYK,Willie Anderson,29,2,0.5
1998,VAN,Lee Mayberry,27,1,0.4
1998,DEN,Bryant Stith,27,2,-0.3
1998,GSW,Adonal Foyle,22,5,-0.1
1998,WAS,Darvin Ham,24,3,0.9
1998,HOU,Emanual Davis,29,1,0.3
1998,MIA,Duane Causwell,29,5,0.5
1998,BOS,Zan Tabak,27,5,0.2
1998,WAS,God Shammgod,21,1,-0.1
1999,CLE,Johnny Newman,35,2,1.2
1999,DAL,Chris Anstey,24,5,0.3
2000,UTA,Jacque Vaughn,24,1,0.4
2000,ATL,Anthony Johnson,25,1,0.1
2001,LAL,Mark Madsen,25,4,1.1
2001,BOS,Walter McCarty,26,4,0.7
2001,ATL,Ira Bowman,27,1,0
2002,GSW,Mookie Blaylock,34,1,-0.1
2002,MEM,Eddie Gill,23,1,0.1
2002,MIN,Marc Jackson,27,5,0.3
2002,DET,Victor Alexander,32,4,-0.1
2003,PHO,Casey Jacobsen,21,2,1.2
2003,UTA,Tony Massenburg,35,4,1
2003,ATL,Matt Maloney,31,1,0.1
2004,SAC,Jabari Smith,26,4,0
2005,MIA,Shandon Anderson,31,3,2.2
2006,NOK,Desmond Mason,28,3,-0.2
2006,DEN,Reggie Evans,25,5,0.6
2006,NJN,Jeff McInnis,31,1,0.3
2006,DAL,Josh Powell,23,4,0.7
2006,CHA,Lonny Baxter,27,4,0
2006,WAS,Awvee Storey,28,3,0.1
2006,BOS,Dwayne Jones,22,5,0.1
2007,ORL,Keith Bogans,26,2,1.7
2007,NYK,Mardy Collins,22,2,0
2008,SAS,Jacque Vaughn,32,1,1.6
2008,DAL,Tyronn Lue,30,1,0.3
2009,HOU,Brent Barry,37,2,1.5
2009,CHA,Cartier Martin,24,3,0.4
2009,LAC,Cheikh Samb,24,5,0
2011,BOS,Jermaine O'Neal,32,4,0.6
2011,WAS,Josh Howard,30,3,-0.2
2011,ATL,Pape Sy,22,3,0
2012,ATL,Kirk Hinrich,31,1,1.8
2012,DAL,Lamar Odom,32,4,0.3
2012,OKC,Daequan Cook,24,2,1.6
2012,CLE,Daniel Gibson,25,1,0.5
2012,LAC,Reggie Evans,31,4,1.3
2012,NOH,Xavier Henry,20,3,0.2
2012,OKC,Reggie Jackson,21,1,0.1
2013,MIL,Marquis Daniels,32,2,0.5
2014,NOP,Louis Amundson,31,4,0.1
2014,UTA,Ian Clark,22,1,-0.1
2015,POR,Victor Claver,26,4,0.1
2016,LAL,Ryan Kelly,24,4,0
1978,GSW,Rickey Green,23,1,0.3
1978,SEA,Slick Watts,26,1,0.2
1978,PHI,Ted McClain,31,1,0.3
1979,LAL,Ron Boone,32,1,0.4
1979,LAL,Ron Carter,22,2,0
1979,HOU,Alonzo Bradley,25,2,0.1
1979,ATL,Keith Herron,22,2,0
1980,SDC,Nick Weatherspoon,29,3,0.1
1980,DEN,Anthony Roberts,24,2,0.1
1980,CLE,Earl Tatum,26,2,0
1980,WSB,Gus Bailey,28,2,0.2
1981,DAL,Scott Lloyd,28,4,1
1981,DET,Larry Drew,22,1,0
1982,ATL,Rudy Macklin,23,3,1.4
1982,ATL,Jim McElroy,28,1,0.3
1984,ATL,Randy Wittman,24,2,1.2
1984,ATL,Sly Williams,26,3,-0.1
1985,NJN,Michael Wilson,25,2,0.1
1986,POR,Ken Johnson,23,4,0.8
1986,PHI,Paul Thompson,24,3,0.1
1986,CHI,Rod Higgins,26,2,0.1
1988,WSB,Charles Jones,30,4,2.2
1988,BOS,Mark Acres,25,4,2.2
1989,HOU,Tim McCormick,26,4,2
1989,SAS,Calvin Natt,32,3,0
1989,BOS,Ramon Rivas,22,5,0
1990,POR,Clifford Robinson,23,4,0.3
1991,CLE,Gerald Paddio,25,2,-0.4
1992,SEA,Marty Conlon,24,4,0.3
1993,PHI,Andrew Lang,26,5,1.7
1993,CHI,John Paxson,32,1,1.9
1993,MIA,Keith Askins,25,3,1.4
1993,WSB,Brent Price,24,1,-0.6
1993,CHH,Tony Bennett,23,1,0.7
1993,ATL,Morlon Wiley,26,1,0.2
1993,CHI,Corey Williams,22,1,0.2
1993,CHH,Sidney Green,32,4,0.1
1994,SAC,Randy Brown,25,1,0.4
1994,LAL,Danny Schayes,34,4,0
1996,UTA,Howard Eisley,23,1,1
1996,BOS,Sherman Douglas,29,1,-0.3
1996,TOR,Dwayne Whitfield,23,4,0
1997,SEA,David Wingate,33,2,1.7
1997,ORL,Danny Schayes,37,5,0.6
1998,DAL,Erick Strickland,24,2,-0.9
1998,CHH,Corey Beck,26,1,0.4
1999,NJN,Earl Boykins,22,1,-0.1
2001,UTA,John Starks,35,1,2.1
2001,PHO,Mario Elie,37,2,3.1
2001,CLE,Bimbo Coles,32,1,0
2001,MIA,Todd Fuller,26,5,0
2002,BOS,Mark Blount,26,5,0.7
2002,MIA,Sean Marks,26,4,0.3
2002,NJN,Derrick Dial,26,2,0
2003,IND,Ron Mercer,26,2,1.3
2003,NOH,Courtney Alexander,25,2,1.1
2003,NOH,Stacey Augmon,34,2,1.2
2003,LAL,Mark Madsen,27,4,1.1
2003,PHI,Tyrone Hill,34,4,0.7
2004,WAS,Mitchell Butler,33,2,0.5
2004,SAS,Ron Mercer,27,2,0.4
2004,DAL,Scott Williams,35,4,0.2
2004,MIN,Ndudi Ebi,19,3,0
2005,MIN,Trenton Hassell,25,2,2.7
2005,UTA,Howard Eisley,32,1,0
2005,ORL,DeShawn Stevenson,23,2,-0.1
2006,CLE,Damon Jones,29,1,3.4
2006,HOU,Keith Bogans,25,2,1.2
2006,SAS,Fabricio Oberto,30,4,1.1
2006,CHI,Luke Schenscher,23,5,0.3
2007,LAC,Daniel Ewing,23,1,0.5
