Year,Tm,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS
2012,NOH,Chris Johnson,26,7,82,10.1,0.546,0,0.389,10.3,21.4,16,2,3.3,1,27.5,16.8,0.1
2013,CHA,Bismack Biyombo,20,80,2186,10.1,0.472,0,0.41,9.9,20.9,15.2,2.5,0.7,5.3,16.7,10.2,1.4
2013,NOH,Lance Thomas,24,59,646,10.1,0.565,0,0.557,8,13.3,10.6,4,0.9,0.9,9.6,10.5,1.2
2014,OKC,Derek Fisher,39,81,1428,10.1,0.542,0.634,0.197,1,8.3,4.8,11.6,2.5,0.2,11.1,13.7,3.1
2014,OKC,Perry Jones,22,62,764,10.1,0.541,0.337,0.232,4.3,12.1,8.4,4.9,0.9,2,9.5,12.8,1.5
2014,CHI,Nazr Mohammed,36,80,562,10.1,0.445,0,0.238,13.6,21.7,17.7,5.8,1.3,4.1,21,14.5,0.8
2014,PHI,Adonis Thomas,20,2,13,10.1,0.7,0.4,0,0,0,0,13.9,0,0,16.7,19.5,0
2015,OKC,Dion Waiters,23,47,1422,10.1,0.455,0.265,0.185,2.2,7.9,5.1,9.8,1.6,0.6,8.8,21.7,0.7
2015,SAS,Matt Bonner,34,72,935,10.1,0.536,0.548,0.161,3.6,10.2,7,7.1,0.5,1,4.3,12.5,2.1
2015,NOP,Austin Rivers,22,35,772,10.1,0.472,0.225,0.32,1.8,8.2,5,16.7,1.2,0.7,10.6,16.7,0.7
1978,SEA,Paul Silas,34,82,2172,10.2,0.437,,0.401,13,18.4,15.6,8.5,1.4,0.4,21.8,12.2,3.1
1978,BUF,Jim McDaniels,29,42,694,10.2,0.467,,0.179,7.2,20.7,14,8.8,0.3,2.8,16.5,17.4,0.5
1979,BOS,Jo Jo White,32,47,1455,10.2,0.464,,0.149,1.7,8.2,4.9,20.4,1.7,0.1,18.3,20.9,-0.3
1979,DET,Rickey Green,24,27,431,10.2,0.433,,0.379,3.5,6.2,4.8,18.7,2.6,0.1,17.6,22.1,-0.1
1980,DEN,Gary Garland,22,78,1106,10.2,0.454,0.053,0.073,4.6,8.5,6.5,17.9,2.3,0.2,16.6,15.6,0.5
1980,WSB,John Williamson,28,30,603,10.2,0.462,0.045,0.14,2.3,5.2,3.7,10,0.8,0.9,11.5,27.9,-0.2
1980,WSB,Ron Behagen,29,6,64,10.2,0.449,0,0.261,9.3,12.7,11,14.4,0,3.3,13.5,18.3,0.1
